id,timestamp,ticker,side,notional_usd,status,realized_pnl,created_at,effective_execution_status
1,2026-04-09 18:04:17.689229+00:00,WETH/USDC,BUY,0.22,open,,2026-04-09 18:04:17+00:00,executed_assumed
2,2026-04-10 03:04:16.405980+00:00,WETH/USDC,BUY,0.22,open,,2026-04-10 03:04:16+00:00,executed_assumed
3,2026-04-10 03:18:41.639619+00:00,WETH/USDC,BUY,0.22,open,,2026-04-10 03:18:41+00:00,executed_assumed
4,2026-04-10 20:36:07.529927+00:00,WETH/USDC,BUY,0.22,open,,2026-04-10 20:36:07+00:00,executed_assumed
5,2026-04-10 22:04:02.018852+00:00,WETH/USDC,BUY,0.22,open,,2026-04-10 22:04:02+00:00,executed_assumed
6,2026-04-11 00:04:24.925602+00:00,WETH/USDC,BUY,0.22,open,,2026-04-11 00:04:24+00:00,executed_assumed
7,2026-04-11 00:50:48.439797+00:00,WETH/USDC,BUY,0.22,open,,2026-04-11 00:50:48+00:00,executed_assumed
8,2026-04-11 01:04:05.814186+00:00,WETH/USDC,BUY,0.22,open,,2026-04-11 01:04:05+00:00,executed_assumed
9,2026-04-11 01:59:54.810649+00:00,WETH/USDC,BUY,0.22,open,,2026-04-11 01:59:54+00:00,executed_assumed
10,2026-04-11 13:46:35.489395+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 13:46:35+00:00,executed_assumed
11,2026-04-11 14:00:22.946912+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 14:00:22+00:00,executed_assumed
12,2026-04-11 14:29:57.129070+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 14:29:57+00:00,executed_assumed
13,2026-04-11 14:36:53.449457+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 14:36:53+00:00,executed_assumed
14,2026-04-11 15:04:14.505816+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 15:04:14+00:00,executed_assumed
15,2026-04-11 15:12:01.670612+00:00,SOLUSD,BUY,0.22,open,,2026-04-11 15:12:01+00:00,executed_assumed
16,2026-04-11 15:18:42.622752+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 15:18:42+00:00,executed_assumed
17,2026-04-11 17:16:08.995764+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 17:16:08+00:00,executed_assumed
18,2026-04-11 17:29:20.577936+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 17:29:20+00:00,executed_assumed
19,2026-04-11 17:37:31.142073+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 17:37:31+00:00,executed_assumed
20,2026-04-11 18:10:45.627850+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 18:10:45+00:00,executed_assumed
21,2026-04-11 18:23:31.942724+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 18:23:31+00:00,executed_assumed
22,2026-04-11 18:31:10.923898+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 18:31:10+00:00,executed_assumed
23,2026-04-11 18:47:25.020497+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 18:47:25+00:00,executed_assumed
24,2026-04-11 19:24:12.220088+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 19:24:12+00:00,executed_assumed
25,2026-04-11 19:30:16.609333+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 19:30:16+00:00,executed_assumed
26,2026-04-11 19:38:04.810032+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 19:38:04+00:00,executed_assumed
27,2026-04-11 20:02:27.786409+00:00,SOLUSD,BUY,0.22,open,,2026-04-11 20:02:27+00:00,executed_assumed
28,2026-04-11 20:59:49.282914+00:00,SOLUSD,BUY,0.22,open,,2026-04-11 20:59:49+00:00,executed_assumed
29,2026-04-11 21:08:25.262392+00:00,BTCUSD,BUY,0.22,open,,2026-04-11 21:08:25+00:00,executed_assumed
30,2026-04-11 21:58:07.790770+00:00,ETHUSD,BUY,0.22,open,,2026-04-11 21:58:07+00:00,executed_assumed
31,2026-04-12 00:02:12.727084+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 00:02:12+00:00,executed_assumed
32,2026-04-12 01:31:52.627188+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 01:31:52+00:00,executed_assumed
33,2026-04-12 01:38:58.314098+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 01:38:58+00:00,executed_assumed
34,2026-04-12 01:41:00.982061+00:00,BTCUSD,BUY,0.22,open,,2026-04-12 01:41:00+00:00,executed_assumed
35,2026-04-12 01:43:44.599867+00:00,SOLUSD,BUY,0.22,open,,2026-04-12 01:43:44+00:00,executed_assumed
36,2026-04-12 01:48:48.454793+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 01:48:48+00:00,executed_assumed
37,2026-04-12 01:58:37.357807+00:00,BTCUSD,BUY,0.22,open,,2026-04-12 01:58:37+00:00,executed_assumed
38,2026-04-12 02:03:27.522627+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 02:03:27+00:00,executed_assumed
39,2026-04-12 02:05:32.177929+00:00,SOLUSD,BUY,0.22,open,,2026-04-12 02:05:32+00:00,executed_assumed
40,2026-04-12 02:16:59.157680+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 02:16:59+00:00,executed_assumed
41,2026-04-12 02:32:56.970882+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 02:32:56+00:00,executed_assumed
42,2026-04-12 03:03:48.308549+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 03:03:48+00:00,executed_assumed
43,2026-04-12 03:20:18.229414+00:00,BTCUSD,BUY,0.22,open,,2026-04-12 03:20:18+00:00,executed_assumed
44,2026-04-12 04:04:52.746822+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 04:04:52+00:00,executed_assumed
45,2026-04-12 04:35:10.049743+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 04:35:10+00:00,executed_assumed
46,2026-04-12 05:07:01.312396+00:00,BTCUSD,BUY,0.22,open,,2026-04-12 05:07:01+00:00,executed_assumed
47,2026-04-12 05:15:03.063970+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 05:15:03+00:00,executed_assumed
48,2026-04-12 06:03:48.176660+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 06:03:48+00:00,executed_assumed
49,2026-04-12 06:15:18.305757+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 06:15:18+00:00,executed_assumed
50,2026-04-12 06:23:20.479240+00:00,BTCUSD,BUY,0.22,open,,2026-04-12 06:23:20+00:00,executed_assumed
51,2026-04-12 06:38:16.768263+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 06:38:16+00:00,executed_assumed
52,2026-04-12 07:46:50.725161+00:00,ETHUSD,BUY,0.22,open,,2026-04-12 07:46:50+00:00,executed_assumed
